"","species","sdm_max_value","inat_n_obs"
"192","Molothrus ater",0.952000021934509,10
"193","Mustela erminea",0.637000024318695,0
"194","Myadestes townsendi",0.932154655456543,1
"195","Myodes gapperi",0.507533252239227,0
"196","Myodes rutilus",0.0994087755680084,0
"197","Myotis lucifugus",0.836000144481659,2
"198","Neotoma cinerea",0.542335510253906,0
"199","Neovison vison",0.839226067066193,8
"200","Nucifraga columbiana",0.13139209151268,0
"201","Numenius americanus",0.858626186847687,0
"202","Numenius phaeopus",0.964853823184967,0
"203","Ochotona princeps",0.336079716682434,0
"204","Oncorhynchus kisutch",0.639,5
"205","Oncorhynchus mykiss",NA,0
"206","Oncorhynchus tshawytscha",0.185,2
"207","Oreoscoptes montanus",0.868759274482727,0
"208","Oreothlypis celata",0.95010644197464,8
"209","Oreothlypis peregrina",0.12611249089241,0
"210","Oreothlypis ruficapilla",0.795890808105469,0
"211","Otus flammeolus",0.408010065555573,0
"212","Oxyura jamaicensis",0.936682462692261,1
"213","Pandion haliaetus",0.954291462898254,1
"214","Parkesia noveboracensis",0.390946686267853,0
"215","Passerculus sandwichensis",0.944592475891113,4
"216","Passerella iliaca",0.982413828372955,5
"217","Passerina amoena",0.912653386592865,0
"218","Patagioenas fasciata",0.990573704242706,6
"219","Pelecanus erythrorhynchos",0.0812324434518814,0
"220","Perisoreus canadensis",0.736724257469177,0
"221","Peromyscus keeni",0.815999984741211,0
"222","Peromyscus maniculatus",0.946344912052155,0
"223","Petrochelidon pyrrhonota",0.905900359153748,0
"224","Phalacrocorax auritus",0.976000010967255,18
"225","Phalacrocorax pelagicus",0.994503617286682,5
"226","Phalacrocorax penicillatus",0.988102197647095,3
"227","Phalaenoptilus nuttallii",0.111841395497322,0
"228","Phalaropus lobatus",0.92915415763855,0
"229","Phalaropus tricolor",0.737091243267059,0
"230","Phenacomys intermedius",0.374000012874603,0
"231","Pheucticus ludovicianus",0.713188886642456,0
"232","Pheucticus melanocephalus",0.964148879051208,7
"233","Pica hudsonia",NA,0
"234","Picoides arcticus",0.407142341136932,0
"235","Picoides dorsalis",0.19200000166893,0
"236","Picoides pubescens",0.876999974250793,2
"237","Picoides villosus",0.962324261665344,11
"238","Pinicola enucleator",0.739342331886292,0
"239","Pipilo maculatus",0.984707057476044,22
"240","Piranga ludoviciana",0.943673372268677,2
"241","Plectrophenax nivalis",0.969124555587769,0
"242","Plethodon vehiculum",0.979377627372742,0
"243","Pluvialis dominica",0.782590568065643,0
"244","Pluvialis squatarola",0.958466649055481,0
"245","Podiceps auritus",0.967844724655151,5
