"","species","filepath","filename","sdm_max_value","taxon_group","n_obs_inat","n_obs_ebird","include"
"61","Calidris alba","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.alba_NAs_pu_mask.tif","Calidris.alba_NAs_pu_mask.tif",0.972134113311768,"Bird",0,0,NA
"62","Calidris alpina","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.alpina_NAs_pu_mask.tif","Calidris.alpina_NAs_pu_mask.tif",0.971350014209747,"Bird",0,5,"y"
"63","Calidris bairdii","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.bairdii_NAs_pu_mask.tif","Calidris.bairdii_NAs_pu_mask.tif",0.961228489875793,"Bird",0,0,NA
"64","Calidris himantopus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.himantopus_NAs_pu_mask.tif","Calidris.himantopus_NAs_pu_mask.tif",0.840711891651154,"Bird",0,0,NA
"65","Calidris mauri","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.mauri_NAs_pu_mask.tif","Calidris.mauri_NAs_pu_mask.tif",0.970335483551025,"Bird",0,2,"y"
"66","Calidris melanotos","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.melanotos_NAs_pu_mask.tif","Calidris.melanotos_NAs_pu_mask.tif",0.911427557468414,"Bird",0,1,"y"
"67","Calidris minutilla","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.minutilla_NAs_pu_mask.tif","Calidris.minutilla_NAs_pu_mask.tif",0.937269568443298,"Bird",0,6,"y"
"68","Calidris pusilla","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calidris.pusilla_NAs_pu_mask.tif","Calidris.pusilla_NAs_pu_mask.tif",0.96318531036377,"Bird",0,0,NA
"69","Calypte anna","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Calypte.anna_NAs_pu_mask.tif","Calypte.anna_NAs_pu_mask.tif",0.840825974941254,"Bird",19,840,"y"
"70","Cardellina pusilla","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cardellina.pusilla_NAs_pu_mask.tif","Cardellina.pusilla_NAs_pu_mask.tif",0.938915610313416,"Bird",3,177,"y"
"71","Carduelis flammea","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carduelis.flammea_NAs_pu_mask.tif","Carduelis.flammea_NAs_pu_mask.tif",0.908536076545715,"Bird",0,5,"y"
"72","Carduelis hornemanni","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carduelis.hornemanni_NAs_pu_mask.tif","Carduelis.hornemanni_NAs_pu_mask.tif",0.352999985218048,"Bird",0,0,NA
"73","Carduelis pinus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carduelis.pinus_NAs_pu_mask.tif","Carduelis.pinus_NAs_pu_mask.tif",0.96399998664856,"Bird",16,0,"y"
"74","Carduelis tristis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carduelis.tristis_NAs_pu_mask.tif","Carduelis.tristis_NAs_pu_mask.tif",0.967420399188995,"Bird",3,0,"y"
"75","Carpodacus cassinii","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carpodacus.cassinii_NAs_pu_mask.tif","Carpodacus.cassinii_NAs_pu_mask.tif",0.821140885353088,"Bird",0,0,NA
"76","Carpodacus mexicanus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carpodacus.mexicanus_NAs_pu_mask.tif","Carpodacus.mexicanus_NAs_pu_mask.tif",0.983898043632507,"Bird",7,154,"y"
"77","Carpodacus purpureus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Carpodacus.purpureus_NAs_pu_mask.tif","Carpodacus.purpureus_NAs_pu_mask.tif",0.969802916049957,"Bird",3,110,"y"
"78","Cathartes aura","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cathartes.aura_NAs_pu_mask.tif","Cathartes.aura_NAs_pu_mask.tif",0.978658497333527,"Bird",21,548,"y"
"79","Catharus fuscescens","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Catharus.fuscescens_NAs_pu_mask.tif","Catharus.fuscescens_NAs_pu_mask.tif",0.0703982934355736,"Bird",0,0,NA
"80","Catharus guttatus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Catharus.guttatus_NAs_pu_mask.tif","Catharus.guttatus_NAs_pu_mask.tif",0.938605785369873,"Bird",4,142,"y"
"81","Catharus ustulatus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Catharus.ustulatus_NAs_pu_mask.tif","Catharus.ustulatus_NAs_pu_mask.tif",0.950677037239075,"Bird",1,332,"y"
"82","Catherpes mexicanus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Catherpes.mexicanus_NAs_pu_mask.tif","Catherpes.mexicanus_NAs_pu_mask.tif",0.0863734632730484,"Bird",0,0,NA
"83","Catostomus catostomus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Catostomus.catostomus_NAs_pu_mask.tif","Catostomus.catostomus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"84","Catostomus columbianus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Catostomus.columbianus_NAs_pu_mask.tif","Catostomus.columbianus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"85","Catostomus commersonii","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Catostomus.commersonii_NAs_pu_mask.tif","Catostomus.commersonii_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"86","Catostomus macrocheilus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Catostomus.macrocheilus_NAs_pu_mask.tif","Catostomus.macrocheilus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"87","Cepphus columba","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cepphus.columba_NAs_pu_mask.tif","Cepphus.columba_NAs_pu_mask.tif",0.989753663539886,"Bird",3,85,"y"
"88","Cerorhinca monocerata","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Cerorhinca.monocerata_NAs_pu_mask.tif","Cerorhinca.monocerata_NAs_pu_mask.tif",0.926760852336884,"Bird",6,54,"y"
"89","Certhia americana","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Certhia.americana_NAs_pu_mask.tif","Certhia.americana_NAs_pu_mask.tif",0.975896716117859,"Bird",10,682,"y"
"90","Chaetura vauxi","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Chaetura.vauxi_NAs_pu_mask.tif","Chaetura.vauxi_NAs_pu_mask.tif",0.969638645648956,"Bird",0,40,"y"
"91","Charadrius semipalmatus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Charadrius.semipalmatus_NAs_pu_mask.tif","Charadrius.semipalmatus_NAs_pu_mask.tif",0.920918822288513,"Bird",0,0,NA
"92","Charadrius vociferus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Charadrius.vociferus_NAs_pu_mask.tif","Charadrius.vociferus_NAs_pu_mask.tif",0.943398416042328,"Bird",1,8,"y"
"93","Chen caerulescens","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Chen.caerulescens_NAs_pu_mask.tif","Chen.caerulescens_NAs_pu_mask.tif",0.976321041584015,"Bird",6,0,"y"
"94","Chlidonias niger","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Chlidonias.niger_NAs_pu_mask.tif","Chlidonias.niger_NAs_pu_mask.tif",0.331655770540237,"Bird",0,0,NA
"95","Chondestes grammacus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Chondestes.grammacus_NAs_pu_mask.tif","Chondestes.grammacus_NAs_pu_mask.tif",0.718741476535797,"Bird",0,0,NA
"96","Chordeiles minor","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Chordeiles.minor_NAs_pu_mask.tif","Chordeiles.minor_NAs_pu_mask.tif",0.956106543540955,"Bird",3,83,"y"
