"scientific_name","lowT","medT","highT","n_inat","n_ebird","lowT_cs","medT_cs","highT_cs"
"Setophaga magnolia",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Setophaga nigrescens",1,1,1,3,341,"both","both","both"
"Setophaga ruticilla",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Setophaga striata",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sialia currucoides",1,1,0,0,1,"both","both","cs_only"
"Sialia mexicana",1,0,0,0,1,"both","cs_only","cs_only"
"Sitta canadensis",1,1,1,4,1064,"both","both","both"
"Sitta carolinensis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sitta pygmaea",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sphyrapicus nuchalis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sphyrapicus ruber",1,1,1,24,318,"both","both","both"
"Sphyrapicus thyroideus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Spinus pinus",1,1,0,15,608,"both","both","cs_only"
"Spinus tristis",1,1,1,2,193,"both","both","both"
"Spizella arborea",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Spizella breweri",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Spizella pallida",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Spizella passerina",1,1,1,1,5,"both","both","both"
"Stelgidopteryx serripennis",1,1,1,1,89,"both","both","both"
"Stercorarius parasiticus",1,1,1,0,4,"both","both","both"
"Sterna forsteri",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Sterna hirundo",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Sterna paradisaea",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Strix nebulosa",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Strix varia",1,1,1,35,264,"both","both","both"
"Sturnella neglecta",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Surnia ulula",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Synthliboramphus antiquus",1,1,1,0,8,"both","both","both"
"Tachycineta bicolor",1,1,1,20,474,"both","both","both"
"Thryomanes bewickii",1,1,0,0,18,"both","both","cs_only"
"Tringa flavipes",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Tringa incana",1,1,1,0,1,"both","both","both"
"Tringa melanoleuca",1,1,1,0,8,"both","both","both"
"Tringa solitaria",1,1,1,0,1,"both","both","both"
"Troglodytes aedon",1,1,0,2,52,"both","both","cs_only"
"Troglodytes hiemalis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Troglodytes pacificus",1,1,1,13,1290,"both","both","both"
"Turdus migratorius",1,1,1,27,1481,"both","both","both"
"Tympanuchus phasianellus",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Vireo cassinii",1,1,1,0,51,"both","both","both"
"Vireo gilvus",1,1,1,2,364,"both","both","both"
"Vireo huttoni",1,1,1,1,113,"both","both","both"
"Vireo olivaceus",1,1,1,0,10,"both","both","both"
"Vireo solitarius",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Xanthocephalus xanthocephalus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Zenaida macroura",1,1,1,0,3,"both","both","both"
"Zonotrichia albicollis",1,1,1,1,11,"both","both","both"
"Zonotrichia atricapilla",1,1,1,3,153,"both","both","both"
"Zonotrichia leucophrys",1,1,1,11,421,"both","both","both"
"Zonotrichia querula",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
